Date,Open,High,Low,Close,Adj Close,Volume
31/10/2014,20.42,20.42,20.38,20.38,18.39,2700
03/11/2014,20.49,20.49,20.35,20.38,18.39,2300
04/11/2014,20.2,20.27,20.2,20.26,18.28,7900
05/11/2014,20.51,20.51,20.0,20.0,18.05,14900
06/11/2014,20.09,20.14,20.07,20.14,18.17,2000
07/11/2014,20.15,20.15,20.08,20.12,18.16,1500
10/11/2014,20.16,20.3,20.16,20.3,18.32,3900
11/11/2014,20.69,20.69,20.23,20.29,18.31,2900
12/11/2014,20.26,20.36,20.24,20.36,18.37,2300
13/11/2014,20.4,20.42,20.3,20.34,18.36,11900
14/11/2014,20.42,20.44,20.42,20.44,18.45,1300
17/11/2014,20.59,20.59,20.36,20.41,18.42,3400
18/11/2014,20.6,20.6,20.6,20.6,18.59,1000
19/11/2014,20.29,20.29,20.29,20.29,18.31,1100
20/11/2014,20.12,20.28,20.1,20.28,18.3,1300
21/11/2014,20.37,20.37,20.36,20.36,18.37,1300
24/11/2014,20.35,20.49,20.35,20.49,18.49,2000
25/11/2014,20.52,20.52,20.52,20.52,18.52,600
26/11/2014,20.53,20.56,20.53,20.56,18.55,900
28/11/2014,20.54,20.65,20.53,20.59,18.58,1500
01/12/2014,20.27,20.27,20.27,20.27,18.29,600
02/12/2014,20.05,20.05,20.05,20.05,18.09,900
03/12/2014,20.09,20.09,20.09,20.09,18.13,600
04/12/2014,20.13,20.18,20.04,20.06,18.1,1900
05/12/2014,20.19,20.19,20.1,20.11,18.15,7400
08/12/2014,20.09,20.09,19.68,19.73,17.8,900
09/12/2014,19.58,19.78,19.5,19.78,17.85,1400
10/12/2014,20.04,20.04,19.73,19.73,17.8,900
11/12/2014,19.85,19.85,19.77,19.77,17.84,900
12/12/2014,19.82,19.82,19.61,19.61,17.69,800
15/12/2014,19.64,19.64,19.28,19.28,17.4,1300
16/12/2014,19.06,19.24,18.95,18.95,17.1,1500
17/12/2014,19.06,19.16,18.95,19.16,17.29,800
18/12/2014,19.84,19.9,19.84,19.88,17.94,1100
19/12/2014,20.19,20.19,20.03,20.16,18.19,2100
22/12/2014,20.35,20.35,20.25,20.33,18.35,1200
23/12/2014,20.4,20.4,20.3,20.34,18.35,1800
24/12/2014,20.65,20.65,20.37,20.37,18.38,3200
26/12/2014,20.41,20.6,20.41,20.6,18.59,2400
29/12/2014,20.47,20.47,20.42,20.43,18.43,1500
30/12/2014,20.58,20.58,20.28,20.3,18.32,1000
31/12/2014,20.35,20.41,20.16,20.16,18.19,1300
02/01/2015,21.0,21.0,19.96,20.17,18.2,5600
05/01/2015,20.37,20.37,19.65,19.68,17.76,3200
06/01/2015,19.79,19.79,19.36,19.61,17.7,3300
07/01/2015,19.83,19.83,19.65,19.7,17.78,3900
08/01/2015,19.94,20.14,19.94,20.14,18.17,700
09/01/2015,20.1,20.1,19.94,19.97,18.02,1100
12/01/2015,20.73,20.73,20.15,20.15,18.18,1500
13/01/2015,20.26,20.26,19.98,19.99,18.04,400
14/01/2015,19.93,19.93,19.83,19.93,17.99,3200
15/01/2015,19.91,19.91,19.48,19.48,17.58,2900
16/01/2015,19.99,19.99,19.59,19.61,17.7,900
20/01/2015,19.8,19.9,19.69,19.89,17.95,1000
21/01/2015,19.97,20.25,19.97,20.25,18.27,400
22/01/2015,20.26,20.53,20.26,20.53,18.53,2900
23/01/2015,20.71,20.73,20.63,20.63,18.62,5000
26/01/2015,20.75,20.75,20.75,20.75,18.73,200
27/01/2015,20.44,20.44,20.44,20.44,18.45,1200
28/01/2015,20.44,20.44,20.35,20.35,18.36,300
