Date,Open,High,Low,Close,Adj Close,Volume
30/07/2002,81.75,81.9,81.52,81.52,38.02,6100
31/07/2002,81.95,82.8,81.9,82.53,38.49,29400
01/08/2002,82.54,83.02,82.54,83.0,38.71,25000
02/08/2002,83.16,84.1,82.88,83.85,39.11,52800
05/08/2002,84.04,84.44,83.85,84.22,39.28,61100
06/08/2002,83.87,83.9,83.22,83.5,38.95,64900
07/08/2002,83.6,84.14,83.36,83.7,39.04,40300
08/08/2002,83.58,83.77,83.36,83.7,39.04,40900
09/08/2002,84.0,84.88,84.0,84.88,39.59,35900
12/08/2002,85.3,86.7,85.14,85.4,39.83,32100
13/08/2002,85.78,86.47,85.37,86.45,40.32,75400
14/08/2002,87.46,87.9,86.75,86.78,40.48,130000
15/08/2002,86.38,86.5,85.85,86.02,40.12,87100
16/08/2002,86.44,86.52,84.82,85.06,39.67,85000
19/08/2002,85.05,85.34,84.71,85.32,39.8,47300
20/08/2002,85.62,86.29,85.6,86.27,40.24,40800
21/08/2002,85.68,86.1,85.63,85.81,40.02,40000
22/08/2002,85.55,85.55,85.06,85.06,39.67,34400
23/08/2002,85.2,85.95,85.2,85.9,40.07,20100
26/08/2002,85.7,86.21,85.67,85.98,40.1,23900
27/08/2002,85.4,85.68,85.2,85.44,39.85,301800
28/08/2002,86.04,86.18,85.84,85.87,40.05,18100
29/08/2002,86.76,86.86,86.35,86.56,40.37,135700
30/08/2002,86.75,87.13,86.45,87.08,40.62,78100
03/09/2002,87.08,88.04,87.0,88.04,41.24,102100
04/09/2002,88.03,88.3,87.84,88.02,41.23,66300
05/09/2002,88.57,88.65,87.38,88.5,41.46,648400
06/09/2002,87.97,88.19,87.2,87.46,40.97,140000
09/09/2002,87.5,87.83,87.26,87.33,40.91,83800
10/09/2002,87.17,88.0,87.0,87.75,41.11,336000
11/09/2002,87.0,87.3,86.75,87.29,40.89,177700
12/09/2002,87.48,88.14,87.47,87.97,41.21,43400
13/09/2002,88.33,88.94,88.18,88.78,41.59,155100
16/09/2002,89.2,89.22,88.9,88.93,41.66,73000
17/09/2002,88.64,89.32,88.36,89.1,41.74,75400
18/09/2002,89.16,89.56,89.02,89.12,41.75,196600
19/09/2002,89.7,89.77,89.26,89.72,42.03,109900
20/09/2002,89.45,89.52,89.06,89.3,41.83,113500
23/09/2002,90.0,90.24,89.77,90.1,42.21,163200
24/09/2002,90.3,90.94,90.21,90.68,42.48,251900
25/09/2002,90.1,90.36,89.26,89.58,41.96,127200
26/09/2002,89.05,89.53,88.61,89.37,41.86,429000
27/09/2002,89.53,90.04,89.48,90.04,42.18,298200
30/09/2002,90.66,90.9,90.08,90.4,42.35,297800
01/10/2002,89.16,89.3,88.8,88.94,41.82,257500
02/10/2002,89.24,89.48,88.84,89.45,42.06,91000
03/10/2002,89.3,89.51,88.8,89.23,41.96,29900
04/10/2002,88.4,89.72,88.4,89.51,42.09,131000
07/10/2002,89.9,89.96,89.46,89.66,42.16,433800
08/10/2002,89.5,90.52,89.36,89.69,42.17,530900
09/10/2002,90.3,90.38,89.95,90.15,42.39,402900
10/10/2002,90.17,90.17,89.28,89.44,42.06,97100
11/10/2002,89.1,89.22,88.06,88.38,41.56,421800
14/10/2002,88.5,88.55,88.07,88.25,41.5,18300
15/10/2002,87.0,87.3,86.15,86.16,40.51,297100
16/10/2002,86.6,86.6,85.89,86.2,40.53,125200
17/10/2002,85.14,85.56,85.07,85.15,40.04,233400
18/10/2002,85.02,85.39,84.28,85.37,40.14,459100
21/10/2002,85.5,85.6,84.5,84.54,39.75,134900
22/10/2002,84.85,84.85,84.22,84.3,39.64,205000
23/10/2002,84.75,85.2,84.18,84.33,39.65,127800
