Date,Open,High,Low,Close,Adj Close,Volume
22/12/1998,19.05,19.05,18.85,18.94,11.34,55887
23/12/1998,18.86,19.22,18.86,19.22,11.5,78784
24/12/1998,19.22,19.34,19.15,19.34,11.58,43824
28/12/1998,19.33,19.33,19.04,19.09,11.43,51948
29/12/1998,19.12,19.29,18.89,19.29,11.55,100819
30/12/1998,19.19,19.32,19.09,19.22,11.5,154614
31/12/1998,19.22,19.24,19.04,19.04,11.4,65366
04/01/1999,18.81,19.36,18.81,19.04,11.4,250632
05/01/1999,18.96,19.24,18.96,19.22,11.5,47763
06/01/1999,19.57,19.85,19.45,19.83,11.87,129871
07/01/1999,19.62,20.13,19.57,20.13,12.05,89986
08/01/1999,20.36,20.36,20.04,20.26,12.13,173694
11/01/1999,20.28,20.28,19.76,19.95,11.94,62904
12/01/1999,19.85,19.85,19.39,19.39,11.61,117437
13/01/1999,18.46,19.39,18.46,19.14,11.46,359206
14/01/1999,19.09,19.23,18.48,18.66,11.17,59950
15/01/1999,18.91,19.19,18.82,19.19,11.49,96757
19/01/1999,19.5,19.5,18.84,19.09,11.43,54903
20/01/1999,19.29,19.53,19.12,19.23,11.51,76445
21/01/1999,19.06,19.15,18.84,18.89,11.31,438482
22/01/1999,18.79,18.89,18.66,18.76,11.23,109928
25/01/1999,18.86,18.94,18.63,18.91,11.32,169632
26/01/1999,18.99,19.03,18.79,18.93,11.33,118053
27/01/1999,19.04,19.04,18.68,18.68,11.18,56872
28/01/1999,18.63,18.99,18.63,18.96,11.35,47270
29/01/1999,19.08,19.39,18.81,19.37,11.59,72998
01/02/1999,19.45,19.45,19.04,19.04,11.4,59827
02/02/1999,18.89,18.99,18.65,18.84,11.28,107220
03/02/1999,18.73,19.12,18.6,18.98,11.36,69675
04/02/1999,18.84,18.94,18.53,18.53,11.09,48625
05/02/1999,18.49,18.58,18.25,18.38,11.0,103035
08/02/1999,18.51,18.53,18.2,18.33,10.97,137749
09/02/1999,18.33,18.38,17.95,18.07,10.82,264050
10/02/1999,18.13,18.23,17.92,18.23,10.91,31883
11/02/1999,18.3,18.99,18.3,18.96,11.35,81000
12/02/1999,18.86,18.96,18.48,18.68,11.18,106974
16/02/1999,18.87,19.09,18.84,18.96,11.35,463102
17/02/1999,19.04,19.42,18.86,19.04,11.4,501140
18/02/1999,19.14,19.34,18.99,19.23,11.51,69428
19/02/1999,19.37,19.65,19.26,19.29,11.55,76322
22/02/1999,19.45,19.99,19.45,19.85,11.88,89617
23/02/1999,19.99,20.18,19.83,20.11,12.03,121623
24/02/1999,20.18,20.21,19.37,19.45,11.64,251986
25/02/1999,19.17,19.42,18.91,19.32,11.56,173448
26/02/1999,19.32,19.72,19.23,19.67,11.78,116822
01/03/1999,19.6,19.89,19.52,19.75,11.82,211486
02/03/1999,19.9,20.08,19.67,19.8,11.85,91463
03/03/1999,19.9,19.93,19.51,19.61,11.74,57365
04/03/1999,19.67,20.11,19.67,20.05,12.0,50348
05/03/1999,20.82,20.82,20.28,20.56,12.31,498432
08/03/1999,20.56,20.61,20.32,20.42,12.22,133564
09/03/1999,20.46,20.78,20.31,20.59,12.32,105374
10/03/1999,20.78,20.98,20.61,20.97,12.55,91217
11/03/1999,21.02,21.3,20.87,21.07,12.61,210993
12/03/1999,21.15,21.27,20.94,21.11,12.64,183911
15/03/1999,21.12,21.27,20.99,21.17,12.67,82969
16/03/1999,21.37,21.37,20.87,20.87,12.49,188466
17/03/1999,20.77,20.77,20.49,20.69,12.38,161261
18/03/1999,20.54,21.17,20.54,21.17,12.67,199422
19/03/1999,21.17,21.17,20.69,20.71,12.43,244723
22/03/1999,20.66,20.84,20.59,20.77,12.46,427280
23/03/1999,20.49,20.56,20.0,20.05,12.04,288793
